ec_id	reaction_id
ec:1.1.1.1	R02246
ec:1.1.1.1	R07105
ec:1.1.1.1	R00623
ec:1.1.1.1	R00754
ec:1.1.1.1	R02124
ec:1.1.1.1	R02878
ec:1.1.1.1	R04805
ec:1.1.1.1	R04880
ec:1.1.1.1	R05233
ec:1.1.1.1	R05234
ec:1.1.1.1	R06917
ec:1.1.1.1	R06927
ec:1.1.1.1	R08281
ec:1.1.1.1	R08306
ec:1.1.1.1	R08557
ec:1.1.1.1	R08558
ec:1.1.1.1	R10783
ec:1.1.1.1	R00624
ec:1.1.1.1	R08310
ec:1.1.1.100	R10116
ec:1.1.1.100	R10120
ec:1.1.1.100	R02767
ec:1.1.1.100	R04533
ec:1.1.1.100	R04534
ec:1.1.1.100	R04536
ec:1.1.1.100	R04543
ec:1.1.1.100	R04566
ec:1.1.1.100	R04953
ec:1.1.1.100	R04964
ec:1.1.1.100	R07763
ec:1.1.1.103	R01465
ec:1.1.1.127	R01542
ec:1.1.1.130	R02637
ec:1.1.1.130	R02639
ec:1.1.1.133	R02777
ec:1.1.1.14	R00875
ec:1.1.1.14	R01896
ec:1.1.1.14	R07145
ec:1.1.1.140	R05607
ec:1.1.1.140	R07133
ec:1.1.1.157	R05576
ec:1.1.1.157	R06941
ec:1.1.1.157	R01976
ec:1.1.1.159	R02792
ec:1.1.1.169	R02472
ec:1.1.1.17	R00758
ec:1.1.1.17	R02703
ec:1.1.1.183	R08083
ec:1.1.1.183	R08084
ec:1.1.1.183	R08085
ec:1.1.1.183	R03581
ec:1.1.1.193	R03458
ec:1.1.1.2	R01481
ec:1.1.1.2	R02247
ec:1.1.1.2	R00625
ec:1.1.1.2	R00746
ec:1.1.1.2	R01041
ec:1.1.1.2	R05231
ec:1.1.1.2	R07328
ec:1.1.1.205	R08240
ec:1.1.1.205	R01130
ec:1.1.1.215	R08879
ec:1.1.1.215	R08880
ec:1.1.1.215	R01739
ec:1.1.1.22	R00286
ec:1.1.1.23	R01163
ec:1.1.1.23	R03012
ec:1.1.1.23	R01158
ec:1.1.1.237	R01370
ec:1.1.1.237	R01371
ec:1.1.1.237	R03337
ec:1.1.1.237	R03339
ec:1.1.1.237	R03373
ec:1.1.1.237	R12252
ec:1.1.1.25	R02413
ec:1.1.1.25	R12885
ec:1.1.1.251	R05571
ec:1.1.1.262	R05837
ec:1.1.1.262	R05681
ec:1.1.1.262	R07406
ec:1.1.1.264	R05683
ec:1.1.1.264	R05684
ec:1.1.1.267	R05688
ec:1.1.1.271	R07059
ec:1.1.1.271	R07060
ec:1.1.1.271	R05692
ec:1.1.1.28	R00704
ec:1.1.1.282	R01872
ec:1.1.1.282	R06846
ec:1.1.1.282	R02413
ec:1.1.1.282	R06847
ec:1.1.1.284	R06983
ec:1.1.1.284	R07140
ec:1.1.1.290	R04210
ec:1.1.1.3	R01773
ec:1.1.1.3	R01775
ec:1.1.1.305	R07658
ec:1.1.1.336	R03317
ec:1.1.1.343	R10221
ec:1.1.1.346	R08878
ec:1.1.1.35	R05305
ec:1.1.1.35	R08094
ec:1.1.1.35	R01778
ec:1.1.1.35	R01975
ec:1.1.1.35	R04203
ec:1.1.1.35	R04737
ec:1.1.1.35	R04739
ec:1.1.1.35	R04741
ec:1.1.1.35	R04743
ec:1.1.1.35	R04745
ec:1.1.1.35	R04748
ec:1.1.1.35	R06941
ec:1.1.1.35	R07890
ec:1.1.1.35	R07894
ec:1.1.1.35	R07898
ec:1.1.1.350	R02935
ec:1.1.1.363	R00835
ec:1.1.1.363	R02736
ec:1.1.1.363	R10520
ec:1.1.1.363	R10907
ec:1.1.1.37	R03431
ec:1.1.1.37	R07136
ec:1.1.1.37	R00342
ec:1.1.1.373	R10719
ec:1.1.1.38	R00214
ec:1.1.1.38	R00217
ec:1.1.1.380	R10848
ec:1.1.1.381	R10852
ec:1.1.1.381	R10851
ec:1.1.1.381	R03758
ec:1.1.1.399	R11337
ec:1.1.1.40	R00216
ec:1.1.1.40	R00217
ec:1.1.1.414	R12146
ec:1.1.1.42	R00267
ec:1.1.1.42	R01899
ec:1.1.1.42	R00268
ec:1.1.1.44	R01528
ec:1.1.1.49	R00835
ec:1.1.1.49	R02736
ec:1.1.1.57	R02454
ec:1.1.1.58	R02555
ec:1.1.1.6	R10715
ec:1.1.1.6	R10717
ec:1.1.1.6	R01034
ec:1.1.1.60	R01745
ec:1.1.1.60	R01747
ec:1.1.1.61	R01644
ec:1.1.1.65	R01708
ec:1.1.1.69	R01738
ec:1.1.1.69	R01740
ec:1.1.1.77	R01781
ec:1.1.1.77	R02257
ec:1.1.1.77	R02258
ec:1.1.1.77	R03080
ec:1.1.1.79	R01392
ec:1.1.1.79	R02527
ec:1.1.1.79	R00465
ec:1.1.1.81	R01388
ec:1.1.1.81	R01392
ec:1.1.1.83	R00215
ec:1.1.1.85	R00994
ec:1.1.1.85	R10052
ec:1.1.1.85	R04426
ec:1.1.1.85	R01652
ec:1.1.1.86	R03051
ec:1.1.1.86	R04440
ec:1.1.1.86	R05068
ec:1.1.1.86	R05069
ec:1.1.1.86	R05071
ec:1.1.1.86	R04439
ec:1.1.1.93	R02545
ec:1.1.1.93	R06180
ec:1.1.1.94	R00842
ec:1.1.1.94	R00844
ec:1.1.1.95	R01513
ec:1.1.1.95	R08198
ec:1.1.2.3	R00196
ec:1.1.5.12	R11591
ec:1.1.5.13	R12217
ec:1.1.5.2	R06620
ec:1.1.5.3	R00848
ec:1.1.5.3	R00849
ec:1.1.5.3	R08657
ec:1.1.5.4	R01257
ec:1.1.5.4	R00360
ec:1.1.5.4	R00361
ec:1.1.98.6	R11592
ec:1.1.98.6	R11633
ec:1.1.98.6	R11634
ec:1.1.98.6	R11635
ec:1.1.98.6	R11636
ec:1.1.98.7	R12569
ec:1.1.99.1	R01025
ec:1.1.99.14	R00476
ec:1.10.3.17	R12508
ec:1.11.1.21	R00602
ec:1.11.1.21	R00698
ec:1.11.1.21	R02596
ec:1.11.1.21	R02670
ec:1.11.1.21	R03919
ec:1.11.1.21	R04007
ec:1.11.1.21	R07443
ec:1.11.1.21	R11906
ec:1.11.1.21	R03532
ec:1.11.1.21	R00009
ec:1.11.1.24	R12570
ec:1.11.1.26	R12579
ec:1.11.1.28	R12602
ec:1.11.1.28	R12603
ec:1.11.1.5	R00017
ec:1.11.1.6	R00602
ec:1.11.1.6	R02670
ec:1.11.1.6	R00009
ec:1.11.1.9	R00274
ec:1.12.99.6	R08034
ec:1.12.99.6	R07182
ec:1.13.11.16	R04376
ec:1.13.11.16	R06788
ec:1.13.11.24	R02156
ec:1.13.11.81	R11037
ec:1.13.11.93	R13011
ec:1.14.11.17	R05320
ec:1.14.11.64	R12216
ec:1.14.12.17	R05724
ec:1.14.12.17	R05725
ec:1.14.12.19	R06783
ec:1.14.12.19	R06782
ec:1.14.13.127	R06786
ec:1.14.13.127	R06787
ec:1.14.13.149	R09838
ec:1.14.13.239	R11875
ec:1.14.13.239	R11911
ec:1.14.13.240	R04987
ec:1.14.13.240	R08768
ec:1.14.14.34	R10206
ec:1.14.14.5	R07210
ec:1.14.14.5	R10206
ec:1.14.99.46	R09936
ec:1.14.99.46	R09937
ec:1.14.99.46	R12544
ec:1.14.99.46	R12756
ec:1.14.99.46	R12545
ec:1.14.99.46	R12539
ec:1.14.99.46	R12546
ec:1.14.99.46	R12547
ec:1.14.99.60	R12067
ec:1.15.1.1	R00275
ec:1.16.1.9	R09541
ec:1.16.3.1	R00078
ec:1.16.3.2	R13250
ec:1.16.3.2	R13251
ec:1.16.3.2	R13252
ec:1.16.3.4	R12925
ec:1.17.1.4	R01768
ec:1.17.1.4	R12987
ec:1.17.1.4	R12988
ec:1.17.1.4	R02103
ec:1.17.1.8	R04198
ec:1.17.1.8	R04199
ec:1.17.1.9	R00519
ec:1.17.4.1	R08363
ec:1.17.4.1	R08364
ec:1.17.4.1	R11893
ec:1.17.4.1	R02017
ec:1.17.4.1	R02018
ec:1.17.4.1	R02019
ec:1.17.4.1	R02024
ec:1.17.4.1	R04294
ec:1.17.5.3	R09494
ec:1.17.7.1	R08689
ec:1.17.7.3	R10859
ec:1.17.7.4	R05884
ec:1.17.7.4	R08210
ec:1.17.98.4	R09481
ec:1.17.98.5	R12754
ec:1.17.99.6	R12500
ec:1.18.1.2	R01195
ec:1.18.1.2	R10159
ec:1.18.1.3	R02000
ec:1.18.1.3	R05875
ec:1.19.1.1	R11485
ec:1.2.1.10	R01172
ec:1.2.1.10	R00228
ec:1.2.1.11	R02291
ec:1.2.1.12	R01061
ec:1.2.1.16	R00713
ec:1.2.1.16	R00714
ec:1.2.1.19	R00904
ec:1.2.1.19	R12215
ec:1.2.1.19	R02549
ec:1.2.1.20	R02401
ec:1.2.1.21	R01333
ec:1.2.1.22	R00203
ec:1.2.1.22	R01446
ec:1.2.1.24	R00713
ec:1.2.1.38	R03443
ec:1.2.1.39	R02695
ec:1.2.1.39	R03300
ec:1.2.1.39	R02536
ec:1.2.1.41	R03313
ec:1.2.1.70	R04109
ec:1.2.1.71	R05049
ec:1.2.1.72	R01825
ec:1.2.1.79	R00714
ec:1.2.1.8	R02566
ec:1.2.1.8	R02565
ec:1.2.1.88	R00707
ec:1.2.1.88	R00708
ec:1.2.1.88	R04444
ec:1.2.1.88	R04445
ec:1.2.1.88	R05051
ec:1.2.1.88	R13148
ec:1.2.1.88	R00245
ec:1.2.1.91	R09820
ec:1.2.1.99	R07417
ec:1.2.1.99	R07418
ec:1.2.4.1	R00014
ec:1.2.4.1	R03270
ec:1.2.4.1	R01699
ec:1.2.4.2	R00621
ec:1.2.4.2	R03316
ec:1.2.4.2	R01700
ec:1.2.5.1	R03145
ec:1.2.7.1	R01199
ec:1.2.7.1	R08034
ec:1.2.7.1	R01196
ec:1.2.8.1	R10866
ec:1.20.4.1	R05747
ec:1.3.1.1	R00977
ec:1.3.1.1	R01414
ec:1.3.1.1	R11026
ec:1.3.1.10	R10118
ec:1.3.1.10	R10122
ec:1.3.1.10	R01404
ec:1.3.1.10	R04430
ec:1.3.1.10	R04725
ec:1.3.1.10	R04956
ec:1.3.1.10	R04959
ec:1.3.1.10	R04962
ec:1.3.1.10	R04967
ec:1.3.1.10	R04970
ec:1.3.1.12	R01728
ec:1.3.1.28	R01505
ec:1.3.1.34	R04319
ec:1.3.1.34	R12620
ec:1.3.1.76	R03947
ec:1.3.1.87	R06784
ec:1.3.1.87	R06785
ec:1.3.1.9	R01403
ec:1.3.1.9	R04429
ec:1.3.1.9	R04724
ec:1.3.1.9	R04955
ec:1.3.1.9	R04958
ec:1.3.1.9	R04961
ec:1.3.1.9	R04966
ec:1.3.1.9	R04969
ec:1.3.1.9	R07765
ec:1.3.1.98	R03191
ec:1.3.1.98	R03192
ec:1.3.3.3	R03220
ec:1.3.5.1	R02164
ec:1.3.5.1	R13223
ec:1.3.5.2	R01868
ec:1.3.5.3	R09489
ec:1.3.8.13	R11600
ec:1.3.98.3	R06895
ec:1.4.1.13	R00114
ec:1.4.1.13	R00256
ec:1.4.1.13	R00248
ec:1.4.1.4	R00145
ec:1.4.1.4	R00146
ec:1.4.1.4	R00248
ec:1.4.3.16	R00357
ec:1.4.3.16	R00481
ec:1.4.3.21	R04027
ec:1.4.3.21	R06740
ec:1.4.3.21	R01853
ec:1.4.3.21	R02382
ec:1.4.3.21	R02529
ec:1.4.3.21	R02613
ec:1.4.3.21	R03139
ec:1.4.3.21	R04300
ec:1.4.3.21	R06154
ec:1.4.3.5	R01710
ec:1.4.3.5	R01711
ec:1.4.3.5	R00277
ec:1.4.3.5	R00278
ec:1.4.4.2	R03425
ec:1.4.5.1	R01374
ec:1.4.5.1	R09493
ec:1.5.1.2	R03291
ec:1.5.1.2	R03293
ec:1.5.1.2	R01248
ec:1.5.1.2	R01251
ec:1.5.1.3	R00936
ec:1.5.1.3	R00937
ec:1.5.1.3	R00940
ec:1.5.1.3	R02235
ec:1.5.1.3	R02236
ec:1.5.1.3	R11765
ec:1.5.1.3	R00939
ec:1.5.1.34	R01793
ec:1.5.1.34	R01794
ec:1.5.1.34	R07354
ec:1.5.1.34	R07355
ec:1.5.1.38	R05706
ec:1.5.1.41	R05705
ec:1.5.1.41	R05707
ec:1.5.1.41	R09750
ec:1.5.1.5	R01220
ec:1.5.1.50	R11019
ec:1.5.1.54	R07168
ec:1.5.5.2	R01253
ec:1.6.1.1	R00112
ec:1.6.5.10	R07359
ec:1.6.5.2	R02964
ec:1.6.5.2	R03643
ec:1.6.5.2	R03816
ec:1.6.5.2	R07358
ec:1.6.5.2	R07359
ec:1.6.5.5	R02364
ec:1.6.5.9	R02163
ec:1.6.5.9	R07358
ec:1.7.1.13	R07605
ec:1.7.1.15	R00787
ec:1.7.1.17	R12035
ec:1.7.1.7	R01134
ec:1.7.2.2	R05712
ec:1.7.2.3	R02560
ec:1.7.5.1	R09497
ec:1.7.99.1	R00143
ec:1.7.99.1	R00284
ec:1.8.1.2	R00858
ec:1.8.1.4	R01698
ec:1.8.1.4	R03815
ec:1.8.1.4	R07618
ec:1.8.1.4	R08550
ec:1.8.1.7	R00094
ec:1.8.1.7	R00115
ec:1.8.1.8	R03913
ec:1.8.1.8	R03914
ec:1.8.1.9	R00900
ec:1.8.1.9	R03596
ec:1.8.1.9	R09372
ec:1.8.1.9	R02016
ec:1.8.4.10	R07176
ec:1.8.4.11	R04120
ec:1.8.4.11	R07606
ec:1.8.4.12	R07607
ec:1.8.4.14	R02025
ec:1.8.4.14	R07608
ec:1.8.4.8	R02021
ec:1.8.5.3	R09501
ec:1.8.5.7	R11659
ec:1.9.6.1	R00792
ec:1.9.6.1	R03071
ec:1.97.1.15	R13439
ec:1.97.1.15	R13440
ec:1.97.1.15	R13441
ec:1.97.1.4	R04710
ec:1.97.1.9	R07229
ec:2.1.1.10	R00650
ec:2.1.1.10	R11063
ec:2.1.1.107	R03950
ec:2.1.1.107	R03194
ec:2.1.1.107	R07237
ec:2.1.1.107	R07238
ec:2.1.1.13	R09365
ec:2.1.1.13	R00946
ec:2.1.1.14	R09365
ec:2.1.1.14	R04405
ec:2.1.1.144	R05763
ec:2.1.1.163	R09736
ec:2.1.1.171	R07234
ec:2.1.1.172	R07234
ec:2.1.1.173	R07234
ec:2.1.1.174	R07234
ec:2.1.1.181	R07232
ec:2.1.1.182	R10716
ec:2.1.1.187	R07233
ec:2.1.1.197	R09543
ec:2.1.1.201	R09737
ec:2.1.1.222	R04988
ec:2.1.1.222	R08769
ec:2.1.1.228	R00597
ec:2.1.1.297	R10806
ec:2.1.1.298	R10806
ec:2.1.1.33	R00600
ec:2.1.1.34	R02917
ec:2.1.1.35	R00594
ec:2.1.1.37	R00380
ec:2.1.1.37	R04858
ec:2.1.1.45	R02101
ec:2.1.1.61	R00601
ec:2.1.1.63	R04314
ec:2.1.1.64	R08781
ec:2.1.1.64	R12657
ec:2.1.1.72	R02961
ec:2.1.1.77	R04190
ec:2.1.1.79	R03411
ec:2.1.1.80	R02623
ec:2.1.2.1	R09099
ec:2.1.2.1	R00945
ec:2.1.2.10	R02300
ec:2.1.2.10	R04125
ec:2.1.2.11	R01216
ec:2.1.2.11	R01226
ec:2.1.2.13	R07660
ec:2.1.2.2	R04326
ec:2.1.2.2	R04325
ec:2.1.2.3	R04560
ec:2.1.2.9	R03940
ec:2.1.3.15	R04386
ec:2.1.3.2	R01397
ec:2.1.3.3	R01398
ec:2.1.3.5	R02937
ec:2.10.1.1	R09735
ec:2.2.1.1	R01067
ec:2.2.1.1	R01830
ec:2.2.1.1	R06590
ec:2.2.1.1	R06861
ec:2.2.1.1	R06863
ec:2.2.1.1	R01641
ec:2.2.1.2	R01827
ec:2.2.1.2	R08575
ec:2.2.1.6	R00014
ec:2.2.1.6	R03050
ec:2.2.1.6	R04672
ec:2.2.1.6	R04673
ec:2.2.1.6	R08648
ec:2.2.1.6	R00006
ec:2.2.1.6	R00226
ec:2.2.1.7	R05636
ec:2.2.1.9	R08165
ec:2.3.1.1	R00259
ec:2.3.1.109	R00832
ec:2.3.1.117	R04365
ec:2.3.1.118	R04024
ec:2.3.1.118	R08386
ec:2.3.1.12	R02569
ec:2.3.1.129	R04567
ec:2.3.1.129	R12920
ec:2.3.1.15	R09380
ec:2.3.1.15	R00851
ec:2.3.1.15	R02617
ec:2.3.1.157	R05332
ec:2.3.1.16	R13467
ec:2.3.1.16	R00238
ec:2.3.1.16	R00391
ec:2.3.1.16	R00829
ec:2.3.1.16	R00927
ec:2.3.1.16	R01177
ec:2.3.1.16	R03778
ec:2.3.1.16	R03858
ec:2.3.1.16	R03991
ec:2.3.1.16	R04742
ec:2.3.1.16	R04747
ec:2.3.1.16	R05506
ec:2.3.1.16	R05586
ec:2.3.1.16	R07891
ec:2.3.1.16	R07895
ec:2.3.1.16	R07899
ec:2.3.1.16	R07937
ec:2.3.1.16	R07953
ec:2.3.1.16	R08091
ec:2.3.1.16	R08095
ec:2.3.1.16	R13471
ec:2.3.1.16	R13479
ec:2.3.1.16	R13483
ec:2.3.1.174	R00829
ec:2.3.1.179	R02768
ec:2.3.1.179	R04355
ec:2.3.1.179	R04726
ec:2.3.1.179	R04952
ec:2.3.1.179	R04957
ec:2.3.1.179	R04960
ec:2.3.1.179	R04963
ec:2.3.1.179	R04968
ec:2.3.1.179	R07762
ec:2.3.1.179	R10115
ec:2.3.1.179	R10119
ec:2.3.1.18	R02616
ec:2.3.1.180	R10707
ec:2.3.1.181	R07769
ec:2.3.1.181	R07766
ec:2.3.1.181	R12427
ec:2.3.1.181	R12428
ec:2.3.1.191	R04550
ec:2.3.1.191	R12803
ec:2.3.1.210	R10142
ec:2.3.1.223	R09839
ec:2.3.1.234	R10648
ec:2.3.1.241	R05146
ec:2.3.1.242	R10906
ec:2.3.1.243	R05075
ec:2.3.1.243	R12197
ec:2.3.1.245	R11182
ec:2.3.1.251	R12200
ec:2.3.1.251	R12211
ec:2.3.1.251	R11223
ec:2.3.1.251	R12206
ec:2.3.1.251	R12187
ec:2.3.1.266	R04316
ec:2.3.1.267	R04316
ec:2.3.1.274	R12240
ec:2.3.1.275	R12241
ec:2.3.1.280	R11479
ec:2.3.1.286	R10633
ec:2.3.1.286	R10634
ec:2.3.1.29	R00371
ec:2.3.1.30	R00586
ec:2.3.1.31	R01776
ec:2.3.1.313	R13186
ec:2.3.1.39	R01626
ec:2.3.1.40	R04864
ec:2.3.1.41	R10115
ec:2.3.1.41	R10119
ec:2.3.1.41	R02768
ec:2.3.1.41	R04355
ec:2.3.1.41	R04726
ec:2.3.1.41	R04952
ec:2.3.1.41	R04957
ec:2.3.1.41	R04960
ec:2.3.1.41	R04963
ec:2.3.1.41	R04968
ec:2.3.1.41	R07762
ec:2.3.1.46	R01777
ec:2.3.1.47	R10124
ec:2.3.1.47	R03210
ec:2.3.1.51	R09381
ec:2.3.1.51	R02241
ec:2.3.1.51	R02760
ec:2.3.1.53	R00693
ec:2.3.1.54	R06987
ec:2.3.1.54	R00212
ec:2.3.1.57	R01154
ec:2.3.1.57	R03910
ec:2.3.1.61	R02571
ec:2.3.1.61	R02570
ec:2.3.1.79	R06251
ec:2.3.1.79	R01556
ec:2.3.1.8	R00921
ec:2.3.1.8	R00230
ec:2.3.1.9	R00927
ec:2.3.1.9	R01177
ec:2.3.1.9	R00238
ec:2.3.2.2	R03916
ec:2.3.2.2	R03970
ec:2.3.2.2	R03971
ec:2.3.2.2	R01262
ec:2.3.2.2	R01687
ec:2.3.2.2	R03867
ec:2.3.2.2	R04159
ec:2.3.2.2	R04935
ec:2.3.2.6	R03813
ec:2.3.2.6	R11443
ec:2.3.2.6	R11444
ec:2.3.3.1	R00351
